Property_Type,Bed,Bath,Parking,Postcode,Suburb,Price
Apartment/House,1,1,1,2009,PYRMONT,970.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,750.0
Apartment/House,1,1,0,2000,HAYMARKET,1010.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,470.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,520.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,470.0
Apartment/House,2,2,1,2007_2010_2011,RUSHCUTTERS BAY,1100.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,910.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,830.0
Apartment/House,1,1,0,2007_2010_2011,ELIZABETH BAY,650.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,830.0
Apartment/House,2,1,0,2007_2010_2011,DARLINGHURST,760.0
Apartment/House,3,2,2,2007_2010_2011,POTTS POINT,1380.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,690.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,660.0
Apartment/House,2,1,0,2007_2010_2011,DARLINGHURST,810.0
Studio,0,1,0,2007_2010_2011,ELIZABETH BAY,450.0
Apartment/House,2,2,1,2007_2010_2011,SURRY HILLS,1210.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,720.0
Apartment/House,4,2,0,2007_2010_2011,SURRY HILLS,1710.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,720.0
Apartment/House,1,1,1,2007_2010_2011,ULTIMO,830.0
Apartment/House,1,1,1,2009,PYRMONT,870.0
Apartment/House,1,1,1,2007_2010_2011,POTTS POINT,580.0
Apartment/House,2,2,1,2009,PYRMONT,1320.0
Studio,0,1,0,2007_2010_2011,DARLINGHURST,540.0
Apartment/House,1,1,0,2009,PYRMONT,770.0
Studio,0,1,0,2007_2010_2011,ULTIMO,650.0
Apartment/House,2,1,0,2000,THE ROCKS,940.0
Apartment/House,3,2,2,2009,PYRMONT,1640.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,940.0
Apartment/House,1,1,1,2007_2010_2011,ELIZABETH BAY,880.0
Apartment/House,4,1,1,2007_2010_2011,DARLINGHURST,1650.0
Apartment/House,3,3,1,2007_2010_2011,SURRY HILLS,1460.0
Apartment/House,3,2,2,2009,PYRMONT,1650.0
Apartment/House,1,1,1,2007_2010_2011,SURRY HILLS,660.0
Apartment/House,1,1,1,2007_2010_2011,RUSHCUTTERS BAY,850.0
Apartment/House,1,1,1,2007_2010_2011,DARLINGHURST,900.0
Apartment/House,2,2,1,2007_2010_2011,WOOLLOOMOOLOO,1650.0
Apartment/House,1,1,1,2007_2010_2011,POTTS POINT,900.0
Apartment/House,2,2,1,2007_2010_2011,WOOLLOOMOOLOO,1020.0
Apartment/House,3,2,2,2000,WALSH BAY,2090.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,830.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,830.0
Apartment/House,3,2,2,2000,HAYMARKET,2090.0
Apartment/House,2,2,1,2007_2010_2011,SURRY HILLS,990.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,800.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,730.0
Apartment/House,1,1,0,2000,BARANGAROO,1320.0
Apartment/House,2,1,0,2000,HAYMARKET,1490.0
Studio,0,1,0,2007_2010_2011,ELIZABETH BAY,510.0
Studio,0,1,0,2007_2010_2011,SURRY HILLS,390.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,860.0
Apartment/House,3,2,1,2007_2010_2011,DARLINGHURST,1710.0
Apartment/House,1,1,1,2009,PYRMONT,2190.0
Apartment/House,1,1,0,2007_2010_2011,ELIZABETH BAY,760.0
Apartment/House,2,1,1,2007_2010_2011,SURRY HILLS,940.0
Apartment/House,2,2,1,2007_2010_2011,ELIZABETH BAY,1100.0
Apartment/House,2,2,1,2007_2010_2011,WOOLLOOMOOLOO,1260.0
Apartment/House,3,2,1,2007_2010_2011,SURRY HILLS,1760.0
Apartment/House,3,2,2,2009,PYRMONT,1600.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,740.0
Studio,0,1,0,2007_2010_2011,ELIZABETH BAY,470.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,660.0
Apartment/House,1,1,1,2009,PYRMONT,940.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,550.0
Apartment/House,2,2,1,2009,PYRMONT,970.0
Apartment/House,2,2,1,2009,PYRMONT,1070.0
Apartment/House,3,2,2,2007_2010_2011,DARLINGHURST,1670.0
Apartment/House,1,1,1,2007_2010_2011,RUSHCUTTERS BAY,720.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,720.0
Apartment/House,1,1,0,2009,PYRMONT,720.0
Apartment/House,2,1,0,2007_2010_2011,RUSHCUTTERS BAY,800.0
Apartment/House,1,1,1,2007_2010_2011,RUSHCUTTERS BAY,690.0
Apartment/House,4,1,0,2000,MILLERS POINT,1210.0
Apartment/House,2,2,0,2000,MILLERS POINT,1540.0
Apartment/House,2,2,1,2000,HAYMARKET,1430.0
Apartment/House,1,1,0,2007_2010_2011,RUSHCUTTERS BAY,640.0
Apartment/House,2,2,2,2009,PYRMONT,1380.0
Apartment/House,2,2,1,2009,PYRMONT,1210.0
Apartment/House,2,2,1,2000,HAYMARKET,1310.0
Apartment/House,2,2,1,2009,PYRMONT,1090.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,750.0
Apartment/House,2,2,1,2007_2010_2011,RUSHCUTTERS BAY,2090.0
Apartment/House,3,2,1,2007_2010_2011,DARLINGHURST,1600.0
Apartment/House,2,1,1,2007_2010_2011,ULTIMO,870.0
Apartment/House,1,1,1,2007_2010_2011,SURRY HILLS,850.0
Apartment/House,2,3,1,2009,PYRMONT,980.0
Apartment/House,2,1,1,2009,PYRMONT,880.0
Apartment/House,1,1,1,2000,MILLERS POINT,880.0
Apartment/House,3,1,0,2000,MILLERS POINT,1530.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,1090.0
Apartment/House,1,1,1,2007_2010_2011,DARLINGHURST,1020.0
Apartment/House,2,2,1,2007_2010_2011,SURRY HILLS,1650.0
Apartment/House,3,1,0,2000,MILLERS POINT,1510.0
Apartment/House,2,2,1,2009,PYRMONT,940.0
Apartment/House,2,1,0,2007_2010_2011,POTTS POINT,720.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,740.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,660.0
Apartment/House,1,1,1,2007_2010_2011,DARLINGHURST,940.0
Apartment/House,2,2,1,2009,PYRMONT,1650.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,830.0
Apartment/House,1,1,1,2000,HAYMARKET,750.0
Apartment/House,2,2,1,2007_2010_2011,ELIZABETH BAY,1320.0
Apartment/House,2,1,1,2007_2010_2011,SURRY HILLS,800.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,490.0
Apartment/House,2,2,1,2000,HAYMARKET,1100.0
Apartment/House,3,2,0,2000,MILLERS POINT,1600.0
Apartment/House,1,1,1,2007_2010_2011,DARLINGHURST,720.0
Apartment/House,2,1,1,2007_2010_2011,WOOLLOOMOOLOO,1040.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,680.0
Apartment/House,1,1,0,2000,HAYMARKET,880.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,720.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,660.0
Apartment/House,3,2,2,2007_2010_2011,SURRY HILLS,1650.0
Studio,0,1,0,2007_2010_2011,ELIZABETH BAY,680.0
Apartment/House,2,1,2,2009,PYRMONT,980.0
Apartment/House,1,1,1,2009,PYRMONT,770.0
Apartment/House,2,2,1,2009,PYRMONT,1070.0
Apartment/House,2,2,1,2009,PYRMONT,900.0
Studio,0,1,0,2007_2010_2011,WOOLLOOMOOLOO,520.0
Apartment/House,1,1,1,2007_2010_2011,ULTIMO,720.0
Apartment/House,1,1,1,2009,PYRMONT,940.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,440.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,840.0
Studio,0,1,0,2007_2010_2011,RUSHCUTTERS BAY,550.0
Apartment/House,1,1,0,2007_2010_2011,ELIZABETH BAY,600.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,880.0
Apartment/House,3,2,2,2000,WALSH BAY,2090.0
Apartment/House,2,2,1,2007_2010_2011,WOOLLOOMOOLOO,1650.0
Apartment/House,1,1,0,2007_2010_2011,WOOLLOOMOOLOO,770.0
Apartment/House,3,1,0,2007_2010_2011,DARLINGHURST,1210.0
Apartment/House,3,2,1,2009,PYRMONT,1420.0
Apartment/House,2,1,2,2007_2010_2011,ELIZABETH BAY,930.0
Apartment/House,2,1,1,2007_2010_2011,SURRY HILLS,930.0
Apartment/House,3,1,0,2007_2010_2011,DARLINGHURST,1430.0
Apartment/House,2,1,1,2009,PYRMONT,940.0
Studio,0,1,0,2007_2010_2011,ELIZABETH BAY,550.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,720.0
Apartment/House,1,1,1,2007_2010_2011,POTTS POINT,650.0
Apartment/House,3,2,2,2007_2010_2011,ULTIMO,1490.0
Apartment/House,1,1,1,2007_2010_2011,DARLINGHURST,980.0
Apartment/House,2,2,2,2009,PYRMONT,1420.0
Apartment/House,1,1,1,2009,PYRMONT,830.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,390.0
Studio,0,1,0,2007_2010_2011,SURRY HILLS,540.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,520.0
Apartment/House,1,1,0,2000,HAYMARKET,1020.0
Apartment/House,3,1,1,2007_2010_2011,SURRY HILLS,1260.0
Studio,0,1,0,2007_2010_2011,SURRY HILLS,470.0
Apartment/House,2,1,0,2009,PYRMONT,870.0
Apartment/House,2,1,1,2007_2010_2011,SURRY HILLS,990.0
Apartment/House,1,1,1,2007_2010_2011,POTTS POINT,880.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,880.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,440.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,600.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,690.0
Apartment/House,3,2,2,2007_2010_2011,WOOLLOOMOOLOO,940.0
Apartment/House,2,1,0,2007_2010_2011,SURRY HILLS,1040.0
Apartment/House,1,1,1,2007_2010_2011,SURRY HILLS,740.0
Apartment/House,2,2,1,2000,HAYMARKET,1650.0
Apartment/House,1,1,0,2000,HAYMARKET,1040.0
Studio,0,1,0,2007_2010_2011,RUSHCUTTERS BAY,440.0
Apartment/House,1,1,1,2007_2010_2011,ULTIMO,800.0
Apartment/House,4,1,0,2007_2010_2011,SURRY HILLS,1160.0
Apartment/House,3,2,0,2007_2010_2011,SURRY HILLS,1320.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,600.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,550.0
Apartment/House,2,1,0,2007_2010_2011,POTTS POINT,940.0
Apartment/House,1,1,0,2007_2010_2011,ELIZABETH BAY,660.0
Apartment/House,3,2,0,2007_2010_2011,DARLINGHURST,1260.0
Apartment/House,1,1,1,2007_2010_2011,ELIZABETH BAY,640.0
Apartment/House,2,1,1,2007_2010_2011,SURRY HILLS,740.0
Apartment/House,2,2,1,2007_2010_2011,ULTIMO,1100.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,600.0
Apartment/House,1,1,1,2007_2010_2011,DARLINGHURST,960.0
Studio,0,1,0,2007_2010_2011,SURRY HILLS,600.0
Apartment/House,1,1,1,2009,PYRMONT,1260.0
Studio,0,1,0,2007_2010_2011,ULTIMO,680.0
Apartment/House,3,2,1,2007_2010_2011,SURRY HILLS,1600.0
Apartment/House,3,2,1,2009,PYRMONT,1320.0
Apartment/House,2,2,1,2000,HAYMARKET,1490.0
Apartment/House,2,2,0,2007_2010_2011,DARLINGHURST,1930.0
Apartment/House,2,2,1,2000,HAYMARKET,1650.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,640.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,600.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,320.0
Studio,0,1,0,2007_2010_2011,DARLINGHURST,280.0
Apartment/House,2,1,1,2007_2010_2011,DARLINGHURST,1210.0
Apartment/House,3,2,2,2007_2010_2011,ULTIMO,1870.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,720.0
Apartment/House,1,1,1,2007_2010_2011,ELIZABETH BAY,570.0
Apartment/House,1,1,0,2007_2010_2011,ELIZABETH BAY,770.0
Apartment/House,1,1,0,2000,HAYMARKET,1040.0
Apartment/House,4,4,1,2007_2010_2011,DARLINGHURST,1980.0
Apartment/House,2,2,1,2009,PYRMONT,940.0
Apartment/House,3,2,0,2007_2010_2011,SURRY HILLS,1650.0
Apartment/House,3,1,0,2007_2010_2011,POTTS POINT,1210.0
Apartment/House,2,2,1,2000,HAYMARKET,2420.0
Apartment/House,2,1,0,2007_2010_2011,SURRY HILLS,940.0
Apartment/House,1,1,1,2007_2010_2011,ULTIMO,720.0
Apartment/House,2,2,1,2000,HAYMARKET,1980.0
Apartment/House,2,3,0,2007_2010_2011,DARLINGHURST,990.0
Apartment/House,1,2,1,2007_2010_2011,WOOLLOOMOOLOO,1430.0
Apartment/House,3,1,2,2007_2010_2011,ELIZABETH BAY,2080.0
Apartment/House,2,1,1,2007_2010_2011,RUSHCUTTERS BAY,770.0
Apartment/House,2,2,1,2007_2010_2011,DARLINGHURST,1710.0
Apartment/House,2,2,1,2009,PYRMONT,550.0
Apartment/House,2,1,0,2007_2010_2011,RUSHCUTTERS BAY,940.0
Apartment/House,2,2,1,2007_2010_2011,DARLINGHURST,1380.0
Apartment/House,3,2,2,2007_2010_2011,ULTIMO,1380.0
Apartment/House,2,1,0,2007_2010_2011,DARLINGHURST,1210.0
Apartment/House,2,2,0,2007_2010_2011,DARLINGHURST,940.0
Apartment/House,3,3,2,2007_2010_2011,RUSHCUTTERS BAY,2420.0
Apartment/House,2,2,1,2000,WALSH BAY,1570.0
Studio,0,1,0,2007_2010_2011,DARLINGHURST,420.0
Apartment/House,2,2,2,2007_2010_2011,DARLINGHURST,1820.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,700.0
Apartment/House,2,1,0,2007_2010_2011,DARLINGHURST,910.0
Apartment/House,2,1,1,2007_2010_2011,SURRY HILLS,940.0
Apartment/House,1,2,1,2007_2010_2011,POTTS POINT,1490.0
Apartment/House,2,1,1,2007_2010_2011,ELIZABETH BAY,990.0
Apartment/House,3,1,0,2000,THE ROCKS,1320.0
Apartment/House,2,2,1,2007_2010_2011,POTTS POINT,1640.0
Apartment/House,1,1,1,2007_2010_2011,SURRY HILLS,500.0
Apartment/House,2,1,0,2000,MILLERS POINT,990.0
Apartment/House,2,2,1,2009,PYRMONT,1650.0
Apartment/House,1,1,0,2000,THE ROCKS,940.0
Apartment/House,2,2,2,2007_2010_2011,ULTIMO,1210.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,650.0
Studio,0,1,0,2007_2010_2011,ULTIMO,580.0
Apartment/House,1,1,0,2000,MILLERS POINT,830.0
Apartment/House,3,2,1,2009,PYRMONT,1870.0
Apartment/House,4,3,1,2007_2010_2011,DARLINGHURST,2200.0
Apartment/House,2,2,1,2000,BARANGAROO,1970.0
Apartment/House,3,3,0,2007_2010_2011,SURRY HILLS,1930.0
Apartment/House,1,1,1,2007_2010_2011,WOOLLOOMOOLOO,880.0
Apartment/House,2,2,0,2000,HAYMARKET,1650.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,600.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,540.0
Apartment/House,4,2,2,2007_2010_2011,POTTS POINT,2200.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,650.0
Apartment/House,2,2,2,2007_2010_2011,SURRY HILLS,1210.0
Apartment/House,2,1,0,2007_2010_2011,POTTS POINT,800.0
Apartment/House,2,2,1,2007_2010_2011,POTTS POINT,2200.0
Apartment/House,2,2,1,2000,HAYMARKET,1540.0
Apartment/House,2,1,0,2007_2010_2011,ULTIMO,960.0
Apartment/House,3,2,1,2009,PYRMONT,1540.0
Apartment/House,1,1,0,2000,HAYMARKET,760.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,1820.0
Apartment/House,2,2,0,2000,HAYMARKET,1870.0
Apartment/House,2,1,0,2000,HAYMARKET,1430.0
Apartment/House,2,1,1,2007_2010_2011,DARLINGHURST,940.0
Apartment/House,1,1,0,2000,HAYMARKET,1020.0
Apartment/House,1,1,0,2000,HAYMARKET,1080.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,910.0
Apartment/House,1,1,1,2007_2010_2011,SURRY HILLS,940.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,880.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,390.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,940.0
Studio,0,1,0,2007_2010_2011,DARLINGHURST,390.0
Apartment/House,3,2,2,2000,HAYMARKET,2200.0
Apartment/House,2,1,1,2007_2010_2011,ULTIMO,1060.0
Apartment/House,1,1,0,2000,HAYMARKET,740.0
Apartment/House,1,1,1,2007_2010_2011,RUSHCUTTERS BAY,630.0
Apartment/House,1,1,0,2000,HAYMARKET,1100.0
Apartment/House,2,2,1,2009,PYRMONT,980.0
Apartment/House,1,1,0,2000,HAYMARKET,840.0
Apartment/House,2,2,0,2000,HAYMARKET,1100.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,720.0
Apartment/House,1,1,0,2000,HAYMARKET,1040.0
Apartment/House,2,1,1,2007_2010_2011,DARLINGHURST,1090.0
Apartment/House,1,1,0,2000,HAYMARKET,1100.0
Apartment/House,2,1,1,2007_2010_2011,DARLINGHURST,1040.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,340.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,500.0
Apartment/House,2,2,1,2009,PYRMONT,1040.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,510.0
Apartment/House,2,1,1,2007_2010_2011,ULTIMO,860.0
Apartment/House,1,1,0,2000,HAYMARKET,770.0
Apartment/House,1,1,0,2000,HAYMARKET,770.0
Apartment/House,1,1,1,2007_2010_2011,DARLINGHURST,870.0
Studio,0,1,1,2007_2010_2011,SURRY HILLS,530.0
Apartment/House,2,2,1,2000,HAYMARKET,1870.0
Studio,0,1,0,2007_2010_2011,ELIZABETH BAY,520.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,940.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,740.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,440.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,680.0
Apartment/House,1,1,0,2000,HAYMARKET,980.0
Apartment/House,3,1,0,2009,PYRMONT,1100.0
Apartment/House,2,2,1,2009,PYRMONT,1090.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,830.0
Apartment/House,1,1,1,2007_2010_2011,RUSHCUTTERS BAY,760.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,450.0
Apartment/House,2,2,1,2000,HAYMARKET,1320.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,650.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,570.0
Studio,0,1,0,2009,PYRMONT,640.0
Apartment/House,2,2,1,2007_2010_2011,SURRY HILLS,1210.0
Apartment/House,1,1,0,2007_2010_2011,WOOLLOOMOOLOO,910.0
Apartment/House,1,1,1,2000,HAYMARKET,1040.0
Apartment/House,2,1,1,2009,PYRMONT,940.0
Apartment/House,2,1,1,2007_2010_2011,POTTS POINT,960.0
Studio,0,1,0,2007_2010_2011,ELIZABETH BAY,690.0
Apartment/House,1,1,0,2009,PYRMONT,770.0
Apartment/House,1,1,1,2009,PYRMONT,680.0
Apartment/House,3,2,2,2009,PYRMONT,1710.0
Apartment/House,1,1,1,2009,PYRMONT,680.0
Apartment/House,3,2,2,2000,BARANGAROO,1780.0
Apartment/House,1,1,0,2007_2010_2011,SURRY HILLS,830.0
Apartment/House,3,2,2,2009,PYRMONT,2420.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,540.0
Studio,0,1,0,2007_2010_2011,POTTS POINT,510.0
Apartment/House,2,2,0,2000,HAYMARKET,1980.0
Apartment/House,3,2,1,2009,PYRMONT,1430.0
Apartment/House,3,2,2,2000,HAYMARKET,2200.0
Apartment/House,1,1,0,2007_2010_2011,ULTIMO,690.0
Apartment/House,2,2,1,2009,PYRMONT,1420.0
Apartment/House,1,1,1,2007_2010_2011,DARLINGHURST,970.0
Apartment/House,3,2,2,2000,HAYMARKET,2040.0
Apartment/House,1,1,0,2007_2010_2011,POTTS POINT,750.0
Apartment/House,2,2,1,2009,PYRMONT,1210.0
Apartment/House,1,1,0,2000,HAYMARKET,600.0
Apartment/House,3,2,1,2007_2010_2011,POTTS POINT,2200.0
Apartment/House,3,2,0,2000,HAYMARKET,1820.0
Apartment/House,2,2,1,2000,HAYMARKET,1760.0
Apartment/House,1,1,1,2009,PYRMONT,730.0
Studio,0,1,0,2007_2010_2011,RUSHCUTTERS BAY,500.0
Apartment/House,1,1,1,2000,HAYMARKET,880.0
Studio,0,1,0,2000,HAYMARKET,720.0
Studio,0,1,0,2000,HAYMARKET,720.0
Apartment/House,4,2,1,2000,HAYMARKET,1980.0
Apartment/House,2,1,1,2007_2010_2011,POTTS POINT,910.0
Apartment/House,1,1,0,2007_2010_2011,DARLINGHURST,580.0
Apartment/House,1,1,0,2000,SYDNEY,940.0
Apartment/House,1,1,1,2000,SYDNEY,880.0
Apartment/House,1,1,0,2000,SYDNEY,830.0
Apartment/House,2,1,0,2000,SYDNEY,870.0
Apartment/House,1,1,0,2000,SYDNEY,800.0
Apartment/House,1,1,1,2000,SYDNEY,880.0
Apartment/House,1,1,0,2000,SYDNEY,880.0
Apartment/House,1,1,0,2000,SYDNEY,720.0
Apartment/House,1,1,1,2000,SYDNEY,1380.0
Apartment/House,3,2,2,2000,SYDNEY,2090.0
Apartment/House,1,1,1,2000,SYDNEY,1380.0
Apartment/House,1,1,0,2000,SYDNEY,720.0
Apartment/House,2,2,1,2000,SYDNEY,1260.0
Apartment/House,1,1,0,2000,SYDNEY,630.0
Apartment/House,2,2,1,2000,SYDNEY,1600.0
Apartment/House,2,2,1,2000,SYDNEY,940.0
Apartment/House,1,1,0,2000,SYDNEY,1100.0
Apartment/House,2,2,1,2000,SYDNEY,2310.0
Apartment/House,3,2,0,2000,SYDNEY,1870.0
Apartment/House,2,2,1,2000,SYDNEY,2140.0
Apartment/House,2,2,1,2000,SYDNEY,1750.0
Apartment/House,2,2,2,2000,SYDNEY,2200.0
Apartment/House,1,1,1,2000,SYDNEY,880.0
Apartment/House,2,2,1,2000,SYDNEY,1650.0
Apartment/House,1,1,1,2000,SYDNEY,720.0
Apartment/House,1,1,0,2000,SYDNEY,760.0
Apartment/House,2,2,1,2000,SYDNEY,1160.0
Apartment/House,1,1,0,2000,SYDNEY,690.0
Apartment/House,3,2,2,2000,SYDNEY,1870.0
Apartment/House,2,2,1,2000,SYDNEY,1710.0
Apartment/House,1,1,0,2000,SYDNEY,990.0
Apartment/House,2,2,1,2000,SYDNEY,1210.0
Apartment/House,2,3,2,2000,SYDNEY,2420.0
Apartment/House,1,1,0,2000,SYDNEY,740.0
Apartment/House,1,1,0,2000,SYDNEY,790.0
Apartment/House,1,1,1,2000,SYDNEY,770.0
Apartment/House,1,1,0,2000,SYDNEY,580.0
Apartment/House,2,2,0,2000,SYDNEY,1320.0
Apartment/House,2,2,1,2000,SYDNEY,1650.0
Apartment/House,2,2,1,2000,SYDNEY,980.0
Apartment/House,1,1,1,2000,SYDNEY,740.0
Apartment/House,1,1,0,2000,SYDNEY,890.0
Apartment/House,2,2,1,2000,SYDNEY,1180.0
Apartment/House,2,2,0,2000,SYDNEY,910.0
Apartment/House,2,1,0,2000,SYDNEY,1040.0
Apartment/House,2,2,1,2000,SYDNEY,1260.0
Apartment/House,2,2,1,2000,SYDNEY,1380.0
Apartment/House,2,2,0,2000,SYDNEY,1870.0
Apartment/House,3,3,2,2000,SYDNEY,2420.0
Apartment/House,2,2,1,2000,SYDNEY,1760.0
Apartment/House,1,1,1,2000,SYDNEY,830.0
Apartment/House,2,2,0,2000,SYDNEY,1510.0
Studio,0,1,0,2000,SYDNEY,790.0
Apartment/House,2,2,1,2000,SYDNEY,940.0
Apartment/House,2,1,0,2000,SYDNEY,940.0
Apartment/House,2,2,1,2000,SYDNEY,2090.0
Apartment/House,2,2,1,2000,SYDNEY,1430.0
Apartment/House,1,1,0,2000,SYDNEY,690.0
Apartment/House,1,1,0,2000,SYDNEY,830.0
Apartment/House,2,2,1,2000,SYDNEY,1930.0
Apartment/House,2,2,1,2000,SYDNEY,1730.0
Apartment/House,2,2,1,2000,SYDNEY,1870.0
Apartment/House,2,2,1,2000,SYDNEY,1040.0
Apartment/House,2,2,1,2000,SYDNEY,1160.0
Apartment/House,2,1,0,2000,SYDNEY,990.0
Apartment/House,2,2,1,2000,SYDNEY,970.0
Apartment/House,2,2,1,2000,SYDNEY,1710.0
Apartment/House,2,2,1,2000,SYDNEY,1260.0
Apartment/House,2,1,0,2000,SYDNEY,1040.0
Apartment/House,2,2,0,2000,SYDNEY,1380.0
Studio,0,1,0,2000,SYDNEY,790.0
Apartment/House,2,2,1,2000,SYDNEY,1490.0
